ISO_code,Case,case_id,image_name,case_status,date_opening_of_trial
KE,The Prosecutor v. William Samoei Ruto and Joshua Arap Sang,KE-1,ruto-sang.jpg,Trial Ongoing,2013-09-10
KE,The Prosecutor v. Uhuru Muigai Kenyatta,KE-2,kenyatta.jpg,Trial Adjourned,2014-10-07
LY,The Prosecutor v. Saif Al-Islam Gaddafi and Abdullah Al-Senussi (Prosecutor vs. S. Gadaffi and Senussi),LY-1,s gaddafi.jpg,Pre-trial,
LY,The Prosecutor v. Muammar Mohammed Abu Minyar Gaddafi (Prosecutor v. Gaddafi),CI-1,gaddafi.jpg,Case Terminated,
CI,The Prosecutor v. Laurent Gbagbo,CI-2,gbagbo.jpg,Pre-trial,
CI,The Prosecutor v. Simone Gbagbo,CI-3,s gbagbo.jpg,Pre-trial,
CI,The Prosecutor v. Charles Blé Goudé (Prosecutor v. Blé Goudé),CI-4,ble goude.jpg,Pre-trial,
KE,The Prosecutor v. Walter Osapiri Barasa,KE-1,barasa.jpg,Pre-trial,
CD,The Prosecutor v. Thomas Lubanga Dyilo (Prosecutor v. Lubanga),CD-1,,Trial Complete: Sentenced,2009-01-26
CD,The Prosecutor v. Germain Katanga (Prosecutor v. Katanga),CD-2,katanga.jpg,Trial Ongoing,2009-11-24
CD,The Prosecutor v. Bosco Ntaganda (Prosecutor v. Ntaganda),CD-3,ntaganda.jpg,Pre-trial,
CD,The Prosecutor v. Callixte Mbarushimana (Prosecutor v. Mbarushimana),CD-4,mubarushimana.jpg,Pre-trial,
CD,The Prosecutor v. Sylvestre Mudacumura (Prosecutor v. Mudacumura),CD-5,,Pre-trial,
CD,The Prosecutor v. Mathieu Ngudjolo Chui​ (Prosecutor v. Chui),CD-6,chui.jpg,Trial Complete: Acquitted,2009-11-24
SD,The Prosecutor v. Ahmad Muhammad Harun “Ahmad Harun” and Ali Muhammad Ali Abd-Al-Rahman “Ali Kushayb” (Prosecutor v. Harun and Kushayb),SD-1,,Pre-trial,
SD,The Prosecutor v. Omar Hassan Ahmad Al Bashir (Prosecutor v. Al Bashir),SD-2,al-bashir.jpg,Pre-trial,
SD,The Prosecutor v. Bahr Idriss Abu Garda (Prosecutor v. Abu Garda),SD-3,abu garda.jpg,Pre-trial,
SD,The Prosecutor v. Abdallah Banda Abakaer Nourain (Prosecutor v. Banda),SD-4,banda.jpg,Trial Ongoing,2014-11-18
SD,The Prosecutor v. Abdel Raheem Muhammad Hussein (Prosecutor v. Hussein),SD-5,hussein.jpg,Pre-trial,
CF,The Prosecutor v. Jean-Pierre Bemba Gombo (Prosecutor v. Bemba),CF-1,bemba.jpg,Trial Ongoing,2010-11-22
CF,"The Prosecutor v. Jean-Pierre Bemba Gombo, Aimé Kilolo Musamba, Jean-Jacques Mangenda Kabongo, Fidèle Babala Wandu and Narcisse Arido (Prosecutor v. Bemba and Kilolo, et. al.)",CF2,bemba.jpg,Pre-trial,
UG,"The Prosecutor v. Joseph Kony, Vincent Otti, Okot Odihambo and Dominic Ongwen (Prosecutor v. Kony et. al.)",UG-1,kony.jpg,Pre-trial,
